URI_Name;Provincia;Cantón;Parroquia;Latitud;Longitud;Nombre;Dirección;Tipo;Régimen Escolar;Modalidad;Jornada Laboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
UNIDADEDUCATIVAFISCOMISIONALSANJUANBAUTISTA;Loja_Province;CATAMAYO;CATAMAYO;-3,998662941580;-79,352557042200;UNIDAD EDUCATIVA FISCOMISIONAL SAN JUAN BAUTISTA;ALFREDO BAQUERIZO  DIEGO DE NOBOA ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;19;6;25;3;211;277;488
UNIDADEDUCATIVAFISCOMISIONALSANTAJUANADEARCOLASALLE;Loja_Province;CALVAS;CARIAMANGA;-4,325507797690;-79,556047811100;UNIDAD EDUCATIVA FISCOMISIONAL SANTA JUANA DE ARCO LA SALLE;VELASCO IBARRA 00 AV.LOJA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;30;16;46;4;346;419;765
UNIDADEDUCATIVAFRANCISCODEORELLANA;Loja_Province;ZAPOTILLO;LIMONES;-4,388916163120;-80,359720631800;UNIDAD EDUCATIVA FRANCISCO DE ORELLANA;   PARROQUIA LIMONES;FiscalHighSchool;Costa;Presencial;Matutina;10;2;12;0;78;67;145
UNIDADEDUCATIVAGONZANAMA;Loja_Province;GONZANAMA;GONZANAMA;-4,231862606430;-79,437614069300;UNIDAD EDUCATIVA GONZANAMA;AVENIDA 30 DE SEPTIEMBRE  24 DE MAYO ;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;28;13;41;9;205;216;421
UNIDADEDUCATIVAGREGORIOMARAnON;Loja_Province;ZAPOTILLO;BOLASPAMBA;-4,185555417490;-80,369386458900;UNIDAD EDUCATIVA GREGORIO MARAÑON;   BARRIO BOLASPAMBA FRENTE AL DISPENSARIO DEL SSC;FiscalHighSchool;Costa;Presencial;Matutina;3;5;8;0;56;45;101
UNIDADEDUCATIVAJOSÉMARÍARIOFRÍO;Loja_Province;ESPINDOLA;BELLAVISTA;-4,565081488340;-79,456421140300;UNIDAD EDUCATIVA JOSÉ MARÍA RIOFRÍO;   BARRIO REINA DEL CISNE CALLE SAN FRANCISCO VÍA A LLAMACHANCHI;FiscalHighSchool;Costa;Presencial;Matutina;8;5;13;1;68;96;164
UNIDADEDUCATIVALADOLOROSA;Loja_Province;CHAGUARPAMBA;CHAGUARPAMBA;-3,878163258490;-79,642024904100;UNIDAD EDUCATIVA LA DOLOROSA;   VIA YAGUACHI BARRIO ROJAS A OCHO CUADRAS DE LA IGLESIA MATRIZ;FiscomitionalHighSchool;Costa;Presencial;Matutina;20;9;29;0;213;165;378
UNIDADEDUCATIVALAPORCIUNCULA;Loja_Province;LOJA;ELSAGRARIO;-3,995806560150;-79,202746877800;UNIDAD EDUCATIVA LA PORCIUNCULA;CALLE BOLIVAR 0639 COLON Y JOSE ANTONIO EGUIGUREN ;ReligiousHighSchool;Sierra;Presencial;Matutina;42;5;47;12;829;159;988
UNIDADEDUCATIVAMANUELIGNACIOMONTEROVALDIVIESO;Loja_Province;LOJA;SUCRE;-3,999082173290;-79,224475810700;UNIDAD EDUCATIVA MANUEL IGNACIO MONTERO VALDIVIESO;   AVENIDA  VILLONACO OBRA PIA;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;18;8;26;3;184;226;410
UNIDADEDUCATIVAFISCOMISIONALSANJOSEDECALASANZ;Loja_Province;SARAGURO;SARAGURO;-3,614134919060;-79,235947607900;UNIDAD EDUCATIVA FISCOMISIONAL SAN JOSE DE CALASANZ;   BARRIO APUGUIN;FiscomitionalHighSchool;Sierra;Presencial;Matutina;33;39;72;13;585;548;1133
UNIDADEDUCATIVAMONSLUISALFONSOCRESPO;Loja_Province;ESPINDOLA;AMALUZA;-4,581693117110;-79,422725595900;UNIDAD EDUCATIVA MONS LUIS ALFONSO CRESPO;AVENIDA ZUMBA SN VIA  A CONSAPAMBA ;FiscomitionalHighSchool;Costa;Presencial;Matutina;25;23;48;4;331;342;673
